name,abbrv,formula,state,ref1,ref2,date,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
6-methyl-1-heptanol,C8H18O,C8H18O,aq,test,test,test,J,-131290.0,-439880.0,289.60006842193616,773.7752914340844,149.24,124.7365201992,90.598664156,160.68360189875165,-61.350293460375994,738.8888533628349,14.175009999999999,-0.6601039249318941,0
6-methyl-2-heptanol,C8H18O,C8H18O,aq,test,test,test,J,-133100.0,-446540.0,273.3330887137356,781.5606286951252,149.42,124.71206419679999,91.160723624,161.59698935939474,-61.631619823503996,745.3945532359837,14.709879999999998,-0.6810235580828601,0
6-methyl-3-heptanol,C8H18O,C8H18O,aq,test,test,test,J,-133100.0,-446540.0,273.3330887137356,781.5606286951252,149.42,124.71206419679999,91.160723624,161.59698935939474,-61.631619823503996,745.3945532359837,14.709879999999998,-0.6810235580828601,0
"2,2-dimethyl-1-hexanol",C8H18O,C8H18O,aq,test,test,test,J,-125600.0,-439490.0,271.8237813181295,763.6698671522747,149.15,124.54767767,90.83816685000001,161.01652269457708,-61.4391724701,727.950928767289,14.5231,-0.6736879432624119,0
"2,5-dimethyl-1-hexanol",C8H18O,C8H18O,aq,test,test,test,J,-133300.0,-443970.0,282.62371423780064,764.5606286951252,149.54,124.86779018559999,91.09007780799999,161.53028817568645,-61.622718044767986,728.8010539371838,14.54008,-0.6743534657478727,0
"3,3-dimethyl-1-hexanol",C8H18O,C8H18O,aq,test,test,test,J,-125600.0,-439490.0,271.8237813181295,763.6698671522747,149.15,124.54767767,90.83816685000001,161.01652269457708,-61.4391724701,727.950928767289,14.5231,-0.6736879432624119,0
"3,5-dimethyl-1-hexanol",C8H18O,C8H18O,aq,test,test,test,J,-133300.0,-443970.0,282.62371423780064,764.5606286951252,149.54,124.86779018559999,91.09007780799999,161.53028817568645,-61.622718044767986,728.8010539371838,14.54008,-0.6743534657478727,0
"4,4-dimethyl-1-hexanol",C8H18O,C8H18O,aq,test,test,test,J,-125600.0,-439490.0,271.8237813181295,763.6698671522747,149.15,124.54767767,90.83816685000001,161.01652269457708,-61.4391724701,727.950928767289,14.5231,-0.6736879432624119,0
"5,5-dimethyl-1-hexanol",C8H18O,C8H18O,aq,test,test,test,J,-125600.0,-439490.0,271.8237813181295,763.6698671522747,149.15,124.54767767,90.83816685000001,161.01652269457708,-61.4391724701,727.950928767289,14.5231,-0.6736879432624119,0
"2,3-dimethyl-2-hexanol",C8H18O,C8H18O,aq,test,test,test,J,-127720.0,-451919.99999999994,237.2438718765734,789.4552044133155,149.46,124.7176801704,91.25701777200001,161.75662434921122,-61.68155525791201,753.0857849100489,14.79478,-0.684368774141086,0
"2,5-dimethyl-2-hexanol",C8H18O,C8H18O,aq,test,test,test,J,-127720.0,-451919.99999999994,237.2438718765734,789.4552044133155,149.46,124.7176801704,91.25701777200001,161.75662434921122,-61.68155525791201,753.0857849100489,14.79478,-0.684368774141086,0
"3,3-dimethyl-2-hexanol",C8H18O,C8H18O,aq,test,test,test,J,-127440.0,-446150.0,255.65742210296958,771.4552044133155,149.33,124.53151355000001,91.37876025000001,161.896789254339,-61.71105514650001,734.516087322128,15.032499999999999,-0.6937716615698273,0
"3,4-dimethyl-2-hexanol",C8H18O,C8H18O,aq,test,test,test,J,-135110.0,-450629.99999999994,266.35673452960054,772.345965956166,149.72,124.84283921199999,91.65341866,162.4466084338602,-61.90500032035999,735.3050650894116,15.074949999999998,-0.695456399796023,0
"3,5-dimethyl-2-hexanol",C8H18O,C8H18O,aq,test,test,test,J,-135110.0,-450629.99999999994,266.35673452960054,772.345965956166,149.72,124.84283921199999,91.65341866,162.4466084338602,-61.90500032035999,735.3050650894116,15.074949999999998,-0.695456399796023,0
"5,5-dimethyl-2-hexanol",C8H18O,C8H18O,aq,test,test,test,J,-127440.0,-446150.0,255.65742210296958,771.4552044133155,149.33,124.53151355000001,91.37876025000001,161.896789254339,-61.71105514650001,734.516087322128,15.032499999999999,-0.6937716615698273,0
"2,2-dimethyl-3-hexanol",C8H18O,C8H18O,aq,test,test,test,J,-127440.0,-446150.0,255.65742210296958,771.4552044133155,149.33,124.53151355000001,91.37876025000001,161.896789254339,-61.71105514650001,734.516087322128,15.032499999999999,-0.6937716615698273,0
"2,3-dimethyl-3-hexanol",C8H18O,C8H18O,aq,test,test,test,J,-127720.0,-451919.99999999994,237.2438718765734,789.4552044133155,149.46,124.7176801704,91.25701777200001,161.75662434921122,-61.68155525791201,753.0857849100489,14.79478,-0.684368774141086,0
"2,4-dimethyl-3-hexanol",C8H18O,C8H18O,aq,test,test,test,J,-135110.0,-450629.99999999994,266.35673452960054,772.345965956166,149.72,124.84283921199999,91.65341866,162.4466084338602,-61.90500032035999,735.3050650894116,15.074949999999998,-0.695456399796023,0
"2,5-dimethyl-3-hexanol",C8H18O,C8H18O,aq,test,test,test,J,-135110.0,-450629.99999999994,266.35673452960054,772.345965956166,149.72,124.84283921199999,91.65341866,162.4466084338602,-61.90500032035999,735.3050650894116,15.074949999999998,-0.695456399796023,0
"3,4-dimethyl-3-hexanol",C8H18O,C8H18O,aq,test,test,test,J,-127720.0,-451919.99999999994,237.2438718765734,789.4552044133155,149.46,124.7176801704,91.25701777200001,161.75662434921122,-61.68155525791201,753.0857849100489,14.79478,-0.684368774141086,0
